T1 = 114, T2 = 115, optimal x = VectorD(8.07813,	-7.92188,	1.57813,	2.07813,	3.07813,	4.07813), y = 3.767789191006186
T1 = 115, T2 = 116, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 1.1198779837411343
T1 = 116, T2 = 117, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.50000,	3.00000,	4.00000), y = 10.53901525162855
T1 = 117, T2 = 118, optimal x = VectorD(7.90123,	-8.01235,	1.40123,	2.49691,	2.91358,	4.24691), y = 2.3078721311615142
T1 = 118, T2 = 119, optimal x = VectorD(8.12500,	-7.87500,	1.62500,	2.12500,	3.12500,	4.12500), y = 7.480606351516654
T1 = 119, T2 = 120, optimal x = VectorD(8.01286,	-7.95459,	1.51009,	2.29541,	3.04541,	4.04541), y = 12.558944355551214
T1 = 120, T2 = 121, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 6.231400081678434
T1 = 121, T2 = 122, optimal x = VectorD(8.04232,	-7.95768,	1.49609,	2.04232,	3.04232,	4.29232), y = 19.331945662471956
T1 = 122, T2 = 123, optimal x = VectorD(8.06893,	-8.02613,	1.59459,	2.03865,	3.11164,	4.04320), y = 3.172937223218924
T1 = 123, T2 = 124, optimal x = VectorD(7.97249,	-7.91813,	1.29715,	2.38048,	3.13048,	4.13048), y = 7.941174418508772
T1 = 124, T2 = 125, optimal x = VectorD(6.80879,	-7.55015,	1.27428,	2.77494,	3.23031,	4.51838), y = 1.520144714103967
T1 = 125, T2 = 126, optimal x = VectorD(8.00473,	-8.08642,	1.82562,	2.07562,	3.07562,	4.07562), y = 2.4249444701211225
T1 = 126, T2 = 127, optimal x = VectorD(7.55556,	-7.77778,	1.72222,	2.22222,	3.22222,	4.22222), y = 4.519422723914551
T1 = 127, T2 = 128, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 9.080944220585739
T1 = 128, T2 = 129, optimal x = VectorD(8.02116,	-7.97884,	1.49805,	2.02116,	3.02116,	4.39616), y = 1.8494820108407874
T1 = 129, T2 = 130, optimal x = VectorD(8.02736,	-7.97056,	1.80440,	2.03136,	3.03313,	4.04919), y = 6.054092308279613
T1 = 130, T2 = 131, optimal x = VectorD(8.16667,	-7.83333,	1.66667,	2.16667,	3.16667,	4.16667), y = 13.40945914667078
T1 = 131, T2 = 132, optimal x = VectorD(8.02038,	-8.02024,	1.42755,	2.48676,	3.02296,	4.09893), y = 5.134615567954293
T1 = 132, T2 = 133, optimal x = VectorD(7.95385,	-8.11589,	2.01808,	1.88690,	3.04303,	4.48770), y = 1.9925481802288951
T1 = 133, T2 = 134, optimal x = VectorD(8.16667,	-7.83333,	1.00000,	2.16667,	3.16667,	4.16667), y = 8.092232977539247
T1 = 134, T2 = 135, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 5.407661583568489
T1 = 135, T2 = 136, optimal x = VectorD(8.07378,	-8.07205,	1.48264,	2.09201,	3.20920,	4.14670), y = 5.33010487539439
T1 = 136, T2 = 137, optimal x = VectorD(7.54167,	-7.79167,	1.70833,	2.20833,	3.20833,	4.20833), y = 2.9072253299943234
T1 = 137, T2 = 138, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 3.770692383120396
T1 = 138, T2 = 139, optimal x = VectorD(8.12500,	-8.12500,	1.81944,	2.06944,	3.06944,	4.06944), y = 9.489668428640076
T1 = 139, T2 = 140, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 17.072679440147958
T1 = 140, T2 = 141, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 2.3155066491569682
T1 = 141, T2 = 142, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 2.781269070202594
T1 = 142, T2 = 143, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 4.584300164174115
T1 = 143, T2 = 144, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 1.2091174268824698
T1 = 144, T2 = 145, optimal x = VectorD(8.16667,	-7.83333,	1.66667,	2.16667,	3.16667,	4.16667), y = 4.6429987575669465
T1 = 145, T2 = 146, optimal x = VectorD(7.90741,	-8.37037,	1.79630,	2.29630,	3.29630,	4.29630), y = 3.8468070418307216
T1 = 146, T2 = 147, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 5.987975642521255
T1 = 147, T2 = 148, optimal x = VectorD(8.02345,	-7.97476,	1.79663,	2.02688,	3.02840,	4.07788), y = 5.262271925523116
T1 = 148, T2 = 149, optimal x = VectorD(7.93827,	-8.00772,	1.65432,	2.05710,	3.05710,	4.36265), y = 5.60194400369285
T1 = 149, T2 = 150, optimal x = VectorD(7.96386,	-8.03614,	1.87364,	2.00771,	3.09529,	4.03857), y = 3.3103448275862064
T1 = 150, T2 = 151, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 2.4754515301039604
T1 = 151, T2 = 152, optimal x = VectorD(8.16667,	-7.83333,	1.66667,	2.16667,	3.16667,	4.16667), y = 5.613708200484412
T1 = 152, T2 = 153, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 2.4272919458189075
T1 = 153, T2 = 154, optimal x = VectorD(8.16667,	-7.83333,	1.00000,	2.16667,	3.16667,	4.16667), y = 6.205979844153527
T1 = 154, T2 = 155, optimal x = VectorD(8.02736,	-7.97056,	1.80440,	2.03136,	3.03313,	4.04919), y = 8.787697243712845
T1 = 155, T2 = 156, optimal x = VectorD(8.06250,	-7.93750,	1.81250,	2.06250,	3.06250,	4.06250), y = 8.713022597673588
T1 = 156, T2 = 157, optimal x = VectorD(8.08333,	-7.91667,	1.58333,	2.08333,	3.08333,	4.33333), y = 3.5938505179444316
T1 = 157, T2 = 158, optimal x = VectorD(8.16667,	-7.83333,	1.00000,	2.16667,	3.16667,	4.16667), y = 3.2183261468018234
T1 = 158, T2 = 159, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 2.8666057560529925
T1 = 159, T2 = 160, optimal x = VectorD(8.08203,	-7.91797,	1.58203,	2.08203,	3.08203,	4.08203), y = 2.7920327844642987
