UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 1874.0120418951851.
Bus.b.54 	 resumes 	 Bus.b.53 	 at time 1943.3506960670159.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 1943.3506960670159.
Bus.b.53 	 resumes 	 Bus.b.55 	 at time 1957.6187936589129.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 1957.6187936589129.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 1976.4682949831083.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 1976.4682949831083.
Bus.b.56 	 resumes 	 Bus.b.54 	 at time 1998.9461780215308.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 1998.9461780215308.
Bus.b.54 	 resumes 	 Bus.b.53 	 at time 2064.8101145712044.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 2064.8101145712044.
Bus.b.53 	 resumes 	 Bus.b.55 	 at time 2097.4487074916924.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 2097.4487074916924.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 2117.644601767616.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 2117.644601767616.
Bus.b.56 	 resumes 	 Bus.b.54 	 at time 2123.8803141478766.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 2123.8803141478766.
Bus.b.54 	 resumes 	 Bus.b.53 	 at time 2186.2695330753927.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 2186.2695330753927.
Bus.b.53 	 resumes 	 Bus.b.55 	 at time 2237.2786213244717.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 2237.2786213244717.
Bus.b.55 	 resumes 	 Bus.b.54 	 at time 2248.814450274222.
