13.25,1599,0.073,64.4202,171,0.0387,74.352,445,0.1093,65.9007,372,0.0967,67.4742,279,0.0833,60.8029,145,0.047,57.1034,187,0.0637,56.7321
13.5,1587,0.07,66.1091,174,0.038,75.5948,444,0.104,67.8376,365,0.092,69.1849,292,0.0853,61.9846,123,0.038,59.8285,189,0.0627,57.6132
13.75,1694,0.0757,65.2885,191,0.043,74.8346,474,0.1143,66.6901,375,0.102,65.9688,302,0.085,63.5182,159,0.045,61.4226,193,0.0653,57.1725
14,1747,0.0797,64.8249,224,0.052,74.5893,488,0.1173,66.8617,381,0.1003,66.1441,303,0.0907,61.7505,157,0.051,57.2707,194,0.067,56.8964
14.25,1754,0.0783,65.5991,217,0.0493,75.6521,476,0.1137,67.1267,398,0.102,68.2588,300,0.0903,61.6867,166,0.0493,58.3994,197,0.0663,57.266
14.5,1884,0.086,64.54,245,0.056,75.6669,496,0.123,65.4698,416,0.1133,65.3245,333,0.0957,62.5408,187,0.0573,57.7947,207,0.0713,56.7353
14.75,1880,0.084,65.4224,269,0.0637,73.8918,488,0.1183,65.7295,393,0.1027,66.5809,336,0.0957,64.3036,188,0.0537,60.8628,206,0.069,57.4544
15,1758,0.079,64.626,220,0.0517,69.8041,463,0.1117,66.4806,385,0.1013,66.8774,323,0.0927,63.9204,167,0.0507,58.6509,200,0.0677,56.5965
15.25,1825,0.0847,63.6212,263,0.0623,67.8928,485,0.1267,64.032,389,0.1077,65.5869,315,0.0913,63.574,173,0.0493,61.078,200,0.07,55.2415
15.5,1940,0.0883,62.8332,292,0.0697,66.6007,490,0.1237,62.8,405,0.1077,64.8279,354,0.102,63.2398,188,0.0543,61.65,211,0.0723,54.6308
15.75,1839,0.083,63.5266,284,0.0687,66.0134,482,0.1193,64.1685,372,0.098,66.1597,317,0.0887,64.5751,188,0.056,59.4447,196,0.0663,55.4985
16,1794,0.0827,62.9424,265,0.0683,63.5377,452,0.114,64.1212,374,0.0993,66.25,321,0.0927,63.5664,184,0.054,59.3495,198,0.067,55.3965
16.25,1950,0.0907,62.3068,301,0.0757,62.5047,460,0.119,62.8889,413,0.1133,65.2189,346,0.0987,64.1569,219,0.064,59.2932,211,0.072,54.8796
16.5,1920,0.0887,62.0374,317,0.082,62.2006,442,0.1137,62.24,405,0.109,64.4474,332,0.0957,63.4389,217,0.06,61.776,207,0.07,54.7048
16.75,1831,0.0873,61.7308,283,0.0757,60.7979,434,0.1143,62.397,378,0.1053,64.5947,348,0.1013,64.05,180,0.0543,59.5172,208,0.072,54.4692
17,1759,0.0837,59.9106,287,0.0777,58.822,417,0.1097,60.4024,382,0.107,62.3866,310,0.0907,62.1581,166,0.0483,58.6199,197,0.071,53.3305
17.25,1649,0.1473,47.1535,286,0.178,44.7486,323,0.268,38.1186,332,0.1557,48.4464,306,0.1193,53.0696,216,0.0763,53.4773,186,0.0873,47.0473
17.5,1560,0.2193,30.5004,276,0.354,17.5848,262,0.356,15.8137,290,0.2193,30.2845,302,0.1663,38.0685,250,0.1037,44.8232,180,0.1167,39.545
17.75,1549,0.2227,25.9744,284,0.336,14.0025,257,0.3287,12.963,285,0.2583,22.6337,295,0.1817,31.6214,252,0.1057,42.2869,176,0.1253,37.0528
