14.5,1441,0.082,60.7451,242,0.0523,74.1616,488,0.112,62.3408,417,0.1147,60.0906,294,0.0503,48.1452,0,,,0
14.75,1481,0.0887,58.5739,267,0.061,71.6464,490,0.109,62.6449,397,0.1057,61.0136,327,0.0803,38.8602,0,,,0
15,1375,0.0833,57.0686,218,0.049,67.0913,464,0.1027,63.4841,391,0.104,61.7072,302,0.077,34.0348,0,,,0
15.25,1445,0.0927,55.0439,266,0.0597,65.2549,485,0.119,60.5111,381,0.1113,58.901,313,0.0803,33.1958,0,,,0
15.5,1524,0.094,53.8629,288,0.067,62.6128,482,0.1133,59.0023,412,0.1137,57.9643,342,0.082,34.2418,0,,,0
15.75,1453,0.0867,55.7867,282,0.0647,62.8791,485,0.1103,60.9971,379,0.102,59.9282,307,0.0713,35.9,0,,,0
16,1398,0.0853,55.4167,260,0.0647,60.7358,459,0.1057,61.271,368,0.102,59.5258,311,0.0683,37.5685,0,,,0
16.25,1496,0.0913,55.403,298,0.0717,59.6037,469,0.1127,59.7079,400,0.1133,58.8488,329,0.067,41.2942,0,,,0
16.5,1494,0.0927,54.2645,317,0.0783,59.1839,451,0.1067,59.239,400,0.1097,58.836,326,0.076,37.0577,0,,,0
16.75,1436,0.0937,52.9478,278,0.0727,57.4155,435,0.11,57.9931,384,0.1137,57.8836,339,0.0783,37.2664,0,,,0
17,1389,0.087,52.3372,276,0.072,55.3214,424,0.103,56.5637,388,0.1137,55.2175,301,0.0607,39.8395,0,,,0
17.25,1271,0.1337,42.4816,285,0.123,46.4568,352,0.169,43.9483,343,0.147,46.516,291,0.0953,32.0509,0,,,0
17.5,1184,0.2377,22.5623,286,0.2793,21.0231,278,0.316,18.6964,297,0.2047,29.4057,323,0.1493,20.9895,0,,,0
17.75,1148,0.2287,18.4154,287,0.2793,16.1087,270,0.2873,13.8915,301,0.219,24.294,290,0.1287,18.8972,0,,,0
