Week 61:	(2, 0, 0)(2, 1, 1)
Week 62:	(0, 0, 2)(1, 1, 1)
Week 63:	(2, 0, 1)(2, 1, 2)
Week 64:	(2, 0, 2)(1, 1, 1)
Week 65:	(0, 0, 0)(1, 1, 1)
Week 66:	(2, 0, 0)(1, 1, 1)
Week 67:	(2, 0, 1)(1, 1, 1)
Week 68:	(0, 0, 2)(2, 1, 1)
Week 69:	(1, 0, 1)(1, 1, 2)
Week 70:	(1, 0, 0)(1, 1, 1)
Week 71:	(1, 0, 2)(1, 1, 1)
Week 72:	(2, 0, 2)(2, 1, 2)
Week 73:	(1, 0, 1)(2, 1, 1)
Week 74:	(0, 0, 1)(2, 1, 1)
Week 75:	(1, 0, 2)(2, 1, 2)
Week 76:	(0, 0, 2)(1, 1, 1)
Week 77:	(2, 0, 2)(1, 1, 1)
Week 78:	(1, 0, 1)(1, 1, 2)
Week 79:	(2, 0, 2)(2, 1, 1)
Week 80:	(1, 0, 0)(1, 1, 1)
Week 81:	(1, 0, 1)(1, 1, 1)
Week 82:	(1, 0, 0)(2, 1, 1)
Week 83:	(2, 0, 0)(2, 1, 1)
Week 84:	(0, 0, 2)(1, 1, 2)
Week 85:	(2, 0, 0)(1, 1, 1)
Week 86:	(2, 0, 2)(2, 1, 2)
Week 87:	(1, 0, 0)(1, 1, 1)
Week 88:	(2, 0, 1)(1, 1, 1)
Week 89:	(2, 0, 0)(2, 1, 2)
Week 90:	(1, 0, 1)(1, 1, 2)
Week 91:	(0, 0, 2)(2, 1, 1)
Week 92:	(2, 0, 1)(1, 1, 1)
Week 93:	(0, 0, 0)(2, 1, 1)
Week 94:	(1, 0, 0)(1, 1, 1)
Week 95:	(0, 0, 2)(2, 1, 1)
Week 96:	(1, 0, 0)(2, 1, 1)
Week 97:	(2, 0, 2)(1, 1, 1)
Week 98:	(2, 0, 2)(1, 1, 1)
Week 99:	(2, 0, 0)(2, 1, 1)
Week 100:	(2, 0, 0)(2, 1, 2)
Week 101:	(0, 0, 2)(1, 1, 2)
Week 102:	(2, 0, 2)(2, 1, 2)
Week 103:	(2, 0, 2)(2, 1, 2)
Week 104:	(0, 0, 1)(2, 1, 2)
Week 105:	(0, 0, 0)(1, 1, 2)
Week 106:	(1, 0, 0)(1, 1, 2)
Week 107:	(2, 0, 1)(2, 1, 1)
Week 108:	(0, 0, 1)(1, 1, 2)
Week 109:	(0, 0, 0)(2, 1, 2)
Week 110:	(0, 0, 0)(2, 1, 1)
Week 111:	(2, 0, 2)(2, 1, 2)
Week 112:	(2, 0, 2)(2, 1, 1)
Week 113:	(2, 0, 2)(2, 1, 1)
Week 114:	(0, 0, 0)(1, 1, 1)
Week 115:	(1, 0, 2)(1, 1, 1)
Week 116:	(0, 0, 1)(1, 1, 2)
Week 117:	(2, 0, 0)(2, 1, 2)
Week 118:	(1, 0, 1)(1, 1, 1)
Week 119:	(2, 0, 0)(1, 1, 1)
Week 120:	(1, 0, 1)(1, 1, 1)
Week 121:	(1, 0, 0)(1, 1, 2)
Week 122:	(1, 0, 2)(2, 1, 2)
Week 123:	(0, 0, 1)(1, 1, 2)
Week 124:	(1, 0, 0)(2, 1, 2)
Week 125:	(2, 0, 2)(1, 1, 1)
Week 126:	(0, 0, 2)(2, 1, 2)
Week 127:	(0, 0, 2)(1, 1, 1)
Week 128:	(2, 0, 2)(2, 1, 2)
Week 129:	(2, 0, 2)(1, 1, 1)
Week 130:	(0, 0, 1)(2, 1, 1)
Week 131:	(0, 0, 2)(2, 1, 1)
Week 132:	(0, 0, 2)(1, 1, 2)
Week 133:	(2, 0, 2)(2, 1, 2)
Week 134:	(0, 0, 0)(1, 1, 2)
Week 135:	(2, 0, 1)(2, 1, 2)
Week 136:	(2, 0, 0)(1, 1, 1)
Week 137:	(0, 0, 0)(1, 1, 1)
Week 138:	(2, 0, 0)(2, 1, 2)
Week 139:	(2, 0, 0)(1, 1, 1)
Week 140:	(1, 0, 0)(1, 1, 1)
Week 141:	(0, 0, 0)(1, 1, 2)
Week 142:	(0, 0, 1)(2, 1, 2)
Week 143:	(0, 0, 1)(1, 1, 1)
Week 144:	(1, 0, 0)(2, 1, 2)
Week 145:	(0, 0, 2)(2, 1, 1)
Week 146:	(1, 0, 2)(2, 1, 2)
Week 147:	(0, 0, 2)(1, 1, 1)
Week 148:	(0, 0, 1)(1, 1, 2)
Week 149:	(1, 0, 0)(1, 1, 1)
Week 150:	(2, 0, 2)(1, 1, 1)
Week 151:	(2, 0, 1)(1, 1, 1)
Week 152:	(0, 0, 0)(1, 1, 2)
Week 153:	(2, 0, 2)(1, 1, 1)
Week 154:	(0, 0, 0)(2, 1, 2)
Week 155:	(2, 0, 0)(2, 1, 1)
