
 sensor1 : 56102.0
 lane_flow: [0,0,0,61] : lane_speed: [0.0, 0.0, 0.0, 64.6] : flow_total: [61] : ave_speed = [64.6]
 lane_flow: [0,0,0,65] : lane_speed: [0.0, 0.0, 0.0, 65.1] : flow_total: [65] : ave_speed = [65.1]
 lane_flow: [0,0,0,47] : lane_speed: [0.0, 0.0, 0.0, 64.7] : flow_total: [47] : ave_speed = [64.7]
 lane_flow: [0,0,0,76] : lane_speed: [0.0, 0.0, 0.0, 63.2] : flow_total: [76] : ave_speed = [63.2]
 lane_flow: [0,0,0,60] : lane_speed: [0.0, 0.0, 0.0, 66.0] : flow_total: [60] : ave_speed = [66.0]
 lane_flow: [0,0,0,48] : lane_speed: [0.0, 0.0, 0.0, 66.5] : flow_total: [48] : ave_speed = [66.5]
 lane_flow: [0,0,0,67] : lane_speed: [0.0, 0.0, 0.0, 62.4] : flow_total: [67] : ave_speed = [62.4]
 lane_flow: [0,0,0,54] : lane_speed: [0.0, 0.0, 0.0, 62.2] : flow_total: [54] : ave_speed = [62.2]
 lane_flow: [0,0,0,49] : lane_speed: [0.0, 0.0, 0.0, 61.6] : flow_total: [49] : ave_speed = [61.6]
 lane_flow: [0,0,0,63] : lane_speed: [0.0, 0.0, 0.0, 65.4] : flow_total: [63] : ave_speed = [65.4]
 lane_flow: [0,0,0,66] : lane_speed: [0.0, 0.0, 0.0, 69.3] : flow_total: [66] : ave_speed = [69.3]
 lane_flow: [0,0,0,69] : lane_speed: [0.0, 0.0, 0.0, 65.7] : flow_total: [69] : ave_speed = [65.7]
 lane_flow: [0,0,0,73] : lane_speed: [0.0, 0.0, 0.0, 62.8] : flow_total: [73] : ave_speed = [62.8]
 lane_flow: [0,0,0,59] : lane_speed: [0.0, 0.0, 0.0, 66.0] : flow_total: [59] : ave_speed = [66.0]
 lane_flow: [0,0,0,84] : lane_speed: [0.0, 0.0, 0.0, 64.5] : flow_total: [84] : ave_speed = [64.5]
