16.3,184.0,0.0521,0.0,35.0,0.0187,0.0,149.0,0.0856,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
16.45,225.0,0.0691,0.0,56.0,0.0316,0.0,169.0,0.1067,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
17.0,219.0,0.0582,0.0,45.0,0.023,0.0,174.0,0.0934,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
17.15,200.0,0.0526,0.0,39.0,0.0191,0.0,161.0,0.0862,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
17.3,217.0,0.0617,0.0,39.0,0.0195,0.0,178.0,0.1039,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
17.45,145.0,0.0379,0.0,24.0,0.0116,0.0,121.0,0.0642,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
18.0,193.0,0.0531,0.0,36.0,0.0178,0.0,157.0,0.0884,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
18.15,185.0,0.0518,0.0,28.0,0.0153,0.0,157.0,0.0882,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
18.3,191.0,0.0519,0.0,36.0,0.0185,0.0,155.0,0.0854,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
18.45,146.0,0.0395,0.0,19.0,0.0098,0.0,127.0,0.0693,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
19.0,158.0,0.0431,0.0,38.0,0.0194,0.0,120.0,0.0668,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
19.15,179.0,0.0478,0.0,31.0,0.0153,0.0,148.0,0.0802,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
19.3,177.0,0.0474,0.0,27.0,0.014,0.0,150.0,0.0808,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
19.45,143.0,0.0388,0.0,28.0,0.0145,0.0,115.0,0.0632,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
20.0,190.0,0.0532,0.0,28.0,0.0157,0.0,162.0,0.0906,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
20.15,141.0,0.0388,0.0,17.0,0.0079,0.0,124.0,0.0697,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
20.3,159.0,0.0427,0.0,24.0,0.0114,0.0,135.0,0.0739,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
20.45,148.0,0.0403,0.0,25.0,0.0129,0.0,123.0,0.0676,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
21.0,161.0,0.0451,0.0,25.0,0.0129,0.0,136.0,0.0773,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
21.15,194.0,0.058,0.0,29.0,0.0154,0.0,165.0,0.1007,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
21.3,156.0,0.0458,0.0,23.0,0.0121,0.0,133.0,0.0796,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
